 | 310  | Rapidash           |  0.07226% | 214    |  0.072% | 56     |  0.118% |
 | 311  | Heliolisk          |  0.06585% | 195    |  0.066% | 55     |  0.116% |
 | 312  | Stoutland          |  0.05268% | 156    |  0.053% | 54     |  0.114% |
 | 313  | Ferroseed          |  0.05909% | 175    |  0.059% | 54     |  0.114% |
 | 314  | Vespiquen          |  0.04052% | 120    |  0.041% | 51     |  0.107% |
 | 315  | Metapod            |  0.03039% | 90     |  0.030% | 50     |  0.105% |
 | 316  | Dewgong            |  0.03917% | 116    |  0.039% | 50     |  0.105% |
 | 317  | Zweilous           |  0.01756% | 52     |  0.018% | 48     |  0.101% |
 | 318  | Drifblim           |  0.05740% | 170    |  0.057% | 48     |  0.101% |
 | 319  | Persian            |  0.05572% | 165    |  0.056% | 48     |  0.101% |
 | 320  | Shaymin            |  0.07159% | 212    |  0.072% | 48     |  0.101% |
 | 321  | Jynx               |  0.04153% | 123    |  0.042% | 47     |  0.099% |
 | 322  | Clefairy           |  0.03917% | 116    |  0.039% | 47     |  0.099% |
 | 323  | Farfetch'd         |  0.05031% | 149    |  0.050% | 46     |  0.097% |
 | 324  | Dragonair          |  0.03647% | 108    |  0.036% | 46     |  0.097% |
 | 325  | Floatzel           |  0.06450% | 191    |  0.064% | 45     |  0.095% |
 | 326  | Haunter            |  0.05099% | 151    |  0.051% | 45     |  0.095% |
 | 327  | Golduck            |  0.02533% | 75     |  0.025% | 44     |  0.093% |
 | 328  | Combusken          |  0.05099% | 151    |  0.051% | 44     |  0.093% |
 | 329  | Arbok              |  0.03275% | 97     |  0.033% | 42     |  0.088% |
 | 330  | Fletchinder        |  0.04356% | 129    |  0.044% | 41     |  0.086% |
 | 331  | Seismitoad         |  0.04187% | 124    |  0.042% | 41     |  0.086% |
 | 332  | Pyroar             |  0.04998% | 148    |  0.050% | 41     |  0.086% |
 | 333  | Uxie               |  0.04761% | 141    |  0.048% | 41     |  0.086% |
 | 334  | Cottonee           |  0.04930% | 146    |  0.049% | 41     |  0.086% |
 | 335  | Sandslash          |  0.03951% | 117    |  0.040% | 40     |  0.084% |
 | 336  | Masquerain         |  0.03005% | 89     |  0.030% | 40     |  0.084% |
 | 337  | Simisage           |  0.04221% | 125    |  0.042% | 40     |  0.084% |
